Crop,Crop_Year,Season,State,Area,Production,Annual_Rainfall,Fertilizer,Pesticide,Yield,Production_log,Yield_log,Area_log,Fertilizer_log,Pesticide_log
Peas & beans (Pulses),2006,Rabi       ,Haryana,969.0,1200,329.3,123750.99,213.18,0.849,7.0909098220799835,0.6146449524049877,6.877296071497429,11.726034761109723,5.366816782972729
Potato,2006,Whole Year ,Haryana,12826.0,319900,329.3,1638008.46,2821.72,21.90714286,12.675766851909591,3.1314487772085777,9.45930760329985,14.30899231871425,7.945456238070402
Rapeseed &Mustard,2006,Rabi       ,Haryana,598245.0,804100,329.3,76401868.95,131613.9,1.276,13.597480162161881,0.8224195162640845,13.301757319580277,18.15151772962256,11.78763551334874
Rice,2006,Kharif     ,Haryana,1042036.0,3371000,329.3,133078417.6,229247.92,2.8545,15.030720290864032,1.3492412969171799,13.85668800930227,18.7064491259661,12.342563679093438
Sannhamp,2006,Whole Year ,Haryana,620.0,200,329.3,79180.2,136.4,0.135454545,5.303304908059076,0.12703305093879552,6.431331081933479,11.279494175887539,4.922896379788249
Sesamum,2006,Kharif     ,Haryana,3800.0,1300,329.3,485298.0,836.0,0.1985,7.170888478512505,0.18107077489230203,8.24301946898925,13.092520474810101,6.729824070489475
Sugarcane,2006,Whole Year ,Haryana,140563.0,9651000,329.3,17951300.73,30923.86,56.0355,16.082572198505474,4.043673880988292,11.853418180054248,16.70317319004629,10.339315670168792
Sunflower,2006,Rabi       ,Haryana,7000.0,12200,329.3,893970.0,1540.0,1.705,9.409273194575334,0.9951019122984449,8.853808274977197,13.703428615150765,7.340186835320115
Sweet potato,2006,Whole Year ,Haryana,19.0,400,329.3,2426.49,4.18,12.6975,5.993961427306569,2.6172133344304336,2.995732273553991,7.794613080692526,1.6448050562713916
Urad,2006,Kharif     ,Haryana,3240.0,1300,329.3,413780.4,712.8,0.218666667,7.170888478512505,0.19775736519731685,8.083637203141548,12.933093094032486,6.57060281105606
